[2025-06-03 00:36:33] info: 	z2m: Logging to console, file (filename: log.log)
[2025-06-03 00:36:33] info: 	z2m: Starting Zigbee2MQTT version 2.3.0 (commit #unknown)
[2025-06-03 00:36:33] info: 	z2m: Starting zigbee-herdsman (4.0.0)
[2025-06-03 00:36:33] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2025-06-03 00:36:39] info: 	z2m: zigbee-herdsman started (resumed)
[2025-06-03 00:36:39] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"}'
[2025-06-03 00:36:39] info: 	z2m: Motor Piscina (0x5c0272fffe0703ae): TS0121_plug - Tuya 10A UK or 16A EU smart plug (Router)
[2025-06-03 00:36:39] info: 	z2m: Fita Led garage (0xa4c1386d750e72f7): TS0505B_1 - Tuya Zigbee RGB+CCT light (Router)
[2025-06-03 00:36:39] info: 	z2m: Botijão (0x847127fffea0e104): PF-PM02D-TYZ - IOTPerfect Smart water/gas valve (Router)
[2025-06-03 00:36:39] info: 	z2m: Sensor Presença (0xa4c138f9dbbec2ff): SNZB-04 - SONOFF Contact sensor (EndDevice)
[2025-06-03 00:36:39] info: 	z2m: Porta Escritorio (0xa4c1385d24df8d02): TS0203 - Tuya Door sensor (EndDevice)
[2025-06-03 00:36:39] info: 	z2m: Medidor de Energia (0xb4e3f9fffeca0358): TS0601_din - Tuya Zigbee smart energy meter DDS238-2 Zigbee (Router)
[2025-06-03 00:36:39] info: 	z2m: Led Sala (0xa4c1389cd040d201): TS0505B_1 - Tuya Zigbee RGB+CCT light (Router)
[2025-06-03 00:36:39] info: 	z2m: Led Quarto  (0xa4c1382a9f5992f6): TS0505B_1 - Tuya Zigbee RGB+CCT light (Router)
[2025-06-03 00:36:39] info: 	z2m: Motor Casa (0x00124b0023ae2c42): ZB-SW02 - eWeLink Smart light switch/2 gang relay (Router)
[2025-06-03 00:36:39] info: 	z2m: Currently 9 devices are joined.
[2025-06-03 00:36:39] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2025-06-03 00:36:39] info: 	z2m: Connected to MQTT server
[2025-06-03 00:36:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2025-06-03 00:36:39] info: 	z2m: Started frontend on port 8099
[2025-06-03 00:36:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Motor Piscina', payload '{"current":0,"energy":0.09,"indicator_mode":"off/on","linkquality":255,"power":0,"power_outage_memory":"off","state":"OFF","voltage":116}'
